moh_area,avg_temperature_2m_mean,avg_temperature_2m_max,avg_precipitation_sum,avg_relative_humidity_2m_mean,temp_range,heat_humidity_index
MOH-Kolonna,24.89643734799742,29.610857282983385,48.148881573794256,80.68273011300595,9.344541670642997,19.009465337738572
MOH-Kolonnawa,28.458575214617127,29.025798221469316,6.063936656584975,80.10029898231224,1.3948428039745095,21.571013561072622
MOH-Kopay,27.89834963125872,31.58009995648319,0.05180166841222127,78.49884267649928,7.391560097083632,20.72265888772025
MOH-Koralai Pattu Central,29.420872245902718,35.161876082266005,0.05180166841222127,74.27670106433658,11.38012902138323,20.67485469821714
MOH-Kotagala,22.83530589450723,29.182726305068186,8.655374151487024,72.67524475852363,12.46671270583928,15.700310012844708
MOH-Kotawehera,29.550170540985082,35.70418198032984,3.057869162498598,74.42233432518721,12.17788131709498,20.806437426727733
MOH-Kothmale,25.198066341191108,31.537346793032956,8.655374151487024,72.67524475852363,12.480480335369425,17.324682796934198
MOH-Kuchchavelly,27.919966375770937,32.23658077469566,0.05180166841222127,78.49884267649928,8.615627522581969,20.73865826148904
MOH-Kuliyapitiya,29.52141524363395,35.375941571223606,5.338334158012401,76.89738637068633,11.600218539606384,21.47938078403319
MOH-Kundasale,27.065350895055488,33.87758303908923,1.295691665965205,69.61786349503957,13.415716372123462,17.823184497209038
MOH-Kuriucharkerny,28.077919425206698,33.948904905218825,0.05180166841222127,77.47971558867127,11.61398616913653,20.584482477898884
MOH-Kurunduwaththa (Gangaihala),26.62004595810388,33.32109268025452,3.5761566614790077,72.38408014953116,13.195626853900308,18.228695897821634
MOH-Kurunegala,30.10315702850684,36.988475023506616,2.435924163722106,70.05466136488265,13.594503001756184,19.948483129114084
MOH-Kuruvita,30.261110077942597,36.36056290797351,8.44805915189486,77.04291771882816,12.081604187513548,22.05933384167641
MOH-Laggala,27.23044249733017,33.520873817872435,1.5030066655573686,73.25757397650855,12.411738464848282,18.872355552835124
MOH-Lahugala,29.03307790365337,34.12021723072619,1.295691665965205,77.04291771882816,10.11475870729446,21.164241603738848
MOH-Lankapura,29.334706896847056,35.04770116211736,0.05180166841222127,73.5488404982098,11.32515478039223,20.411689241195955
MOH-Lindula(Thalawakale),22.7778958428027,26.89952757380183,38.19776159337039,74.8591321950303,8.17554476326524,16.133068831815066
MOH-Lunugala,21.808359715680457,27.056455657400704,2.539581663518188,80.97389472199842,10.334848225517614,16.712730991753396
MOH-Lunugamwehera,29.140759454223517,34.87648872717881,0.3627741678004672,73.11204262836671,11.366361391853086,20.155990158600208
MOH-MC Galle,29.564548189660645,33.06417413727788,12.594359143738139,78.64447593734991,7.061425819748899,22.000766437092476
MOH-MC Kurunegala,30.06002408248014,36.95990632082725,2.435924163722106,70.05466136488265,13.622038260816472,19.91997515403515
MOH-Madampe,28.264627771993588,29.981850855539854,4.820046659031991,79.80913437331978,3.6092167843474634,21.346052669293275
MOH-Madhu,28.32927691953477,34.63395442611066,0.05180166841222127,75.87825928285831,12.452945076309135,20.33828605366278
MOH-Madulla,26.57691301207718,31.594384307822867,3.887129160867254,78.49884267649928,9.949739707191883,19.74136396323448
MOH-Madurawala,28.508846713482743,29.168441953728507,3.9907866606633355,80.3914635913047,1.5736294336072303,21.68795443843723
MOH-Maha Wilachchiya,28.925396353083226,35.618575762860566,0.05180166841222127,74.42233432518721,13.209394483430453,20.366600096938456
MOH-Mahaoya,29.112104699870116,35.49011649137224,0.05180166841222127,76.16942389185077,12.604292724011147,20.980588186053467
MOH-Mahara,28.925396353083226,30.866581623480798,6.582224155565385,77.77088019766373,4.049299543664192,21.285545946676763
MOH-Maharagama,28.42268136442708,28.997229518789954,6.063936656584975,80.10029898231224,1.4086104335046543,21.543863108616495
MOH-Mahawewa,28.135329476911227,29.4538293088157,9.380976650059598,80.82826146114779,2.8389997476960014,21.5204943263239
MOH-Mahiyanganaya,24.652318949506,29.739316554471706,2.2286091641299426,78.79000728549175,10.05978446630346,18.380253602067803
MOH-Maho,29.801528035313154,36.38913161065287,0.673746667188713,69.47233214689773,13.016840224267588,19.583988304890568
MOH-Malimbada,29.32756834400814,31.8512029602307,21.923534125385515,78.20767806750682,5.177186116710677,21.7028871872881
MOH-Mallavi,27.99889262898995,33.82054552429932,0.05180166841222127,77.1885509796788,11.517709039555097,20.44921504512639
MOH-Mallawapitiya,29.858938087017684,36.76012518320934,2.435924163722106,70.05466136488265,13.622038260816472,19.786647039295236
MOH-Mannar Town,27.84093957955419,30.538441104943374,0.05180166841222127,79.9547676341704,5.493456487385685,21.064560656864202
MOH-Manthai East,28.28614397350807,34.59110137209162,0.05180166841222127,76.31495523999263,12.452945076309135,20.424585706112616
MOH-Maruthankerny,28.085057978045615,29.725032203132024,0.05180166841222127,77.77088019766373,3.4579654137750326,20.667291357890075
MOH-Maskeliya,23.381153829190072,27.498870986655582,38.19776159337039,74.8591321950303,8.17554476326524,16.560203628490935
MOH-Matale,31.288156799767105,38.458264852961626,0.673746667188713,67.87077392837598,14.158398149714635,20.085592914017532
MOH-Matale MC,31.137342303170257,38.28705241802307,0.673746667188713,67.87077392837598,14.117191538253783,19.98882094419176
MOH-Matara MC,29.392116948551585,31.93690906826879,21.923534125385515,78.20767806750682,5.218392728171531,21.750788342692843
MOH-Matara PS Kekanadura,29.29157395082036,31.83701849945983,21.923534125385515,78.20767806750682,5.218392728171531,21.676415496143374
MOH-Mathugama,29.147998550060166,30.324375615985772,3.783471661071172,79.08117189448421,2.5777036180119928,21.81168292891587
MOH-Mathurata,23.488835379760218,29.43964484804483,2.954211662702516,72.09291554053868,11.710263298717962,16.019715692810728
MOH-Mawanella,29.923587234558862,36.931437508716705,11.972414144961647,71.51058632255376,13.828360149509486,20.24277464055819
MOH-Mawathagama,30.174944728886935,37.10264994365526,19.02112413109522,70.6369905828676,13.677012501807472,20.162777771714236
MOH-Medadumbara  (Meda Mahanuwara),23.883868817846217,30.081741424348813,0.881061666780877,72.52971341038179,12.191648946625126,16.38808915309941
MOH-Medagama,25.36325848646352,30.581194268393606,2.539581663518188,80.97389472199842,10.32108059598747,19.435824407201412
MOH-Medawachchiya,28.853508109705395,35.53296954539128,0.3627741678004672,73.40320723735918,13.181955501499745,20.03701299730139
MOH-Medirigiriya,29.198270048925778,34.91934178119785,0.05180166841222127,73.5488404982098,11.338922409922377,20.316759623501138
MOH-Meegahakivula,26.46209290866812,31.86548731157038,0.46643166759654914,72.23844688868054,10.692421484783056,18.083925806689493
MOH-Meerigama,30.562739071136285,36.56034404559142,6.789539155157549,76.16942389185077,11.889049928350683,22.025880605614397
MOH-Menikhinna,27.402873738439226,34.191539096855784,1.088376666373041,71.51058632255376,13.37450976066261,18.53753229451009
MOH-Mihinthale,28.961290203273272,35.504400842711924,0.05180166841222127,72.38408014953116,12.920563094686154,19.83183314945436
MOH-Millaniya,28.55187911651171,29.510966714174426,3.9907866606633355,79.5179697643273,2.151292211095827,21.48403514731138
MOH-Minuwangoda,29.571686742499566,34.22010779953515,4.923704158828073,75.00466354317213,9.275799800121854,20.985048617528403
MOH-Monaragala,28.530362914997227,34.10593287938651,3.2651841620907622,71.36495306170315,11.05009102117808,19.260897920662643
MOH-Moratuwa,28.52322436215831,29.09712008759891,6.063936656584975,80.10029898231224,1.4086104335046543,21.62007830729691
MOH-Morawaka,28.96842875611219,34.805166861049216,35.29535159908009,79.5179697643273,11.558915651015951,21.797428941376403
MOH-Mulatiyana,28.86788575838096,34.64813888688153,23.478396622326745,78.49884267649928,11.448967169033955,21.442630707315786
